text,label,language
"I can't stand it, it's disgusting.",disgust,en
मुझे यह बहुत घटिया लगा। बस,disgust,hi
मुझे यह बहुत घटिया लगा। आज,disgust,hi
I am worried sick and afraid.,fear,en
I have no strong feelings about it.,neutral,en
यह घिनौना है।,disgust,hi
very This situation terrifies me.,fear,en
यह वाकई में आश्चर्यजनक है। बस,surprise,hi
I went to the store today.,neutral,en
grr,anger,en
यह वाकई में आश्चर्यजनक है। अभी,surprise,hi
मुझे बहुत दुख है। अभी,sadness,hi
मैं आज बहुत खुश हूँ।,joy,hi
This makes me sick to my stomach.,disgust,en
quite I went to the store today.,neutral,en
quite I'm scared about the test tomorrow.,fear,en
मैं आज बहुत खुश हूँ। बस,joy,hi
tearful,sadness,en
meh,neutral,en
मुझे डर लग रहा है। बस,fear,hi
That was disgusting and gross!,disgust,en
मैं भयभीत हूँ। आज,fear,hi
This situation terrifies me.,fear,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। बस",anger,hi
मैं बस घर पर हूँ। अभी,neutral,hi
extremely It is an ordinary day.,neutral,en
extremely I feel wonderful and joyful.,joy,en
"very I can't stop crying, I'm devastated.",sadness,en
This situation terrifies me.,fear,en
I'm astonished by the news...,surprise,en
really That was unacceptable and enraging. hardly,anger,en
मुझे डर लग रहा है। अभी,fear,hi
what?,surprise,en
"I can't stand it, it's disgusting...",disgust,en
so happy,joy,en
This makes me so angry and annoyed.,anger,en
very nervous,fear,en
That was disgusting and gross.,disgust,en
That was disgusting and gross.,disgust,en
मैं बस घर पर हूँ।,neutral,hi
quite I am furious about what happened!.,anger,en
totally It is an ordinary day.,neutral,en
no way!,surprise,en
yuck,disgust,en
मैं उत्साहित और प्रसन्न हूँ। अभी,joy,hi
मैं बस घर पर हूँ। अभी,neutral,hi
यह घिनौना है। आज,disgust,hi
यह घिनौना है। आज,disgust,hi
so That was unacceptable and enraging...,anger,en
very I feel so sad and empty. not,sadness,en
कुछ खास नहीं हुआ। बस,neutral,hi
यह घिनौना है। आज,disgust,hi
absolutely What an unexpected event! hardly,surprise,en
मुझे यह बहुत घटिया लगा।,disgust,hi
That was disgusting and gross!,disgust,en
What an unexpected event!,surprise,en
मैं बस घर पर हूँ।,neutral,hi
This makes me sick to my stomach.,disgust,en
"very I can't tolerate this, I'm mad.",anger,en
I'm scared about the test tomorrow.,fear,en
quite What an unexpected event!!,surprise,en
"This made my day, I'm ecstatic.",joy,en
extremely That was unacceptable and enraging.,anger,en
मुझे यह बहुत घटिया लगा। बस,disgust,hi
That was disgusting and gross.,disgust,en
what?,surprise,en
I have no strong feelings about it.,neutral,en
quite I am furious about what happened!,anger,en
मुझे बहुत दुख है। बस,sadness,hi
कुछ खास नहीं हुआ।,neutral,hi
That was a shocking surprise.,surprise,en
really What a fantastic moment! never,joy,en
really What an unexpected event!,surprise,en
यह घिनौना है। अभी,disgust,hi
"I can't stand it, it's disgusting.",disgust,en
मैं उत्साहित और प्रसन्न हूँ। आज,joy,hi
क्या! मैंने यह सोचा नहीं था। आज,surprise,hi
totally I am worried sick and afraid.,fear,en
मैं उदास महसूस कर रहा हूँ। आज,sadness,hi
It is an ordinary day. never.,neutral,en
यह घिनौना है। बस,disgust,hi
That was unacceptable and enraging.,anger,en
totally This makes me sick to my stomach.,disgust,en
मुझे डर लग रहा है।,fear,hi
I am worried sick and afraid.,fear,en
feels bad,sadness,en
That was a shocking surprise!,surprise,en
totally This makes me sick to my stomach. hardly...,disgust,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। अभी",anger,hi
मैं बस घर पर हूँ।,neutral,hi
That was unacceptable and enraging.,anger,en
so sad,sadness,en
quite I am so happy today!.,joy,en
"Wow, I did not expect that!",surprise,en
It is an ordinary day.,neutral,en
I went to the store today.,neutral,en
"Wow, I did not expect that!!",surprise,en
मैं आज बहुत खुश हूँ। आज,joy,hi
absolutely I am so happy today!,joy,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। आज",anger,hi
This makes me so angry and annoyed!,anger,en
क्या! मैंने यह सोचा नहीं था। बस,surprise,hi
so That was disgusting and gross.,disgust,en
I am so happy today!!,joy,en
"extremely I can't stop crying, I'm devastated. never",sadness,en
extremely I am furious about what happened!,anger,en
I'm astonished by the news.,surprise,en
मैं उदास महसूस कर रहा हूँ।,sadness,hi
"really Today was a rough day, I feel down.",sadness,en
"I can't tolerate this, I'm mad.",anger,en
यह घिनौना है। अभी,disgust,hi
"I can't stop crying, I'm devastated. not",sadness,en
absolutely It is an ordinary day. barely!,neutral,en
यह घिनौना है। अभी,disgust,hi
absolutely I am worried sick and afraid...,fear,en
यह घिनौना है। अभी,disgust,hi
extremely What an unexpected event!,surprise,en
yuck,disgust,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। आज",anger,hi
मैं बहुत गुस्से में हूँ। बस,anger,hi
so happy,joy,en
extremely I feel revulsion at this.,disgust,en
"Today was a rough day, I feel down.",sadness,en
मुझे बहुत दुख है। आज,sadness,hi
very What a fantastic moment!,joy,en
I'm astonished by the news!,surprise,en
really Just another normal day.,neutral,en
angry!,anger,en
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
क्या! मैंने यह सोचा नहीं था। आज,surprise,hi
मैं भयभीत हूँ। आज,fear,hi
feels bad,sadness,en
very It is an ordinary day.,neutral,en
मैं बहुत गुस्से में हूँ। आज,anger,hi
मुझे डर लग रहा है। बस,fear,hi
कुछ खास नहीं हुआ। बस,neutral,hi
कुछ खास नहीं हुआ।,neutral,hi
I'm scared about the test tomorrow.,fear,en
"Today was a rough day, I feel down.",sadness,en
I'm scared about the test tomorrow. barely...,fear,en
यह वाकई में आश्चर्यजनक है। बस,surprise,hi
totally I am worried sick and afraid.,fear,en
कुछ खास नहीं हुआ। बस,neutral,hi
"I can't stop crying, I'm devastated. never",sadness,en
"I can't stop crying, I'm devastated.",sadness,en
I'm feeling heartbroken and low.,sadness,en
This makes me sick to my stomach.,disgust,en
fine,neutral,en
I'm astonished by the news.,surprise,en
क्या! मैंने यह सोचा नहीं था। बस,surprise,hi
मुझे डर लग रहा है। बस,fear,hi
मैं बहुत गुस्से में हूँ। आज,anger,hi
मुझे यह बहुत घटिया लगा। बस,disgust,hi
very I feel so sad and empty. not,sadness,en
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
मैं आज बहुत खुश हूँ। अभी,joy,hi
मैं भयभीत हूँ। बस,fear,hi
कुछ खास नहीं हुआ। बस,neutral,hi
I feel so sad and empty.,sadness,en
This situation terrifies me.,fear,en
depressed,sadness,en
मैं बस घर पर हूँ।,neutral,hi
मैं आज बहुत खुश हूँ।,joy,hi
so I'm scared about the test tomorrow.,fear,en
मैं बस घर पर हूँ।,neutral,hi
quite I am furious about what happened! never,anger,en
मुझे बहुत दुख है। अभी,sadness,hi
"Wow, I did not expect that!",surprise,en
really I feel so sad and empty.,sadness,en
really I am so happy today!,joy,en
"so Wow, I did not expect that!",surprise,en
totally I feel revulsion at this.,disgust,en
मैं बहुत गुस्से में हूँ। अभी,anger,hi
मुझे यह बहुत घटिया लगा।,disgust,hi
extremely I'm astonished by the news.,surprise,en
"quite Wow, I did not expect that!",surprise,en
"I can't tolerate this, I'm mad.",anger,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। अभी",anger,hi
मुझे बहुत दुख है। आज,sadness,hi
क्या! मैंने यह सोचा नहीं था। आज,surprise,hi
मैं बस घर पर हूँ।,neutral,hi
I'm feeling heartbroken and low.,sadness,en
It is an ordinary day!,neutral,en
This situation terrifies me.,fear,en
I feel revulsion at this.,disgust,en
really I am so happy today!.,joy,en
absolutely I am so happy today! never,joy,en
This makes me so angry and annoyed.,anger,en
"Wow, I did not expect that!!",surprise,en
"I can't stop crying, I'm devastated.",sadness,en
क्या! मैंने यह सोचा नहीं था। बस,surprise,hi
क्या! मैंने यह सोचा नहीं था।,surprise,hi
I went to the store today.,neutral,en
क्या! मैंने यह सोचा नहीं था। अभी,surprise,hi
यह वाकई में आश्चर्यजनक है। अभी,surprise,hi
"This made my day, I'm ecstatic.",joy,en
I am so happy today!,joy,en
so It is an ordinary day...,neutral,en
मैं भयभीत हूँ। अभी,fear,hi
feels good,joy,en
क्या! मैंने यह सोचा नहीं था। अभी,surprise,hi
That was disgusting and gross.,disgust,en
मैं उदास महसूस कर रहा हूँ। आज,sadness,hi
Just another normal day!,neutral,en
I went to the store today.,neutral,en
मैं बस घर पर हूँ। आज,neutral,hi
यह वाकई में आश्चर्यजनक है। बस,surprise,hi
मैं उत्साहित और प्रसन्न हूँ। आज,joy,hi
मैं आज बहुत खुश हूँ। अभी,joy,hi
gross,disgust,en
I am so happy today!...,joy,en
मुझे डर लग रहा है। बस,fear,hi
scared,fear,en
मैं भयभीत हूँ। बस,fear,hi
feels bad,sadness,en
मैं बहुत गुस्से में हूँ।,anger,hi
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
tearful,sadness,en
यह वाकई में आश्चर्यजनक है। अभी,surprise,hi
"very I can't tolerate this, I'm mad.",anger,en
I'm scared about the test tomorrow.,fear,en
कुछ खास नहीं हुआ।,neutral,hi
कुछ खास नहीं हुआ। आज,neutral,hi
यह वाकई में आश्चर्यजनक है।,surprise,hi
I went to the store today...,neutral,en
I'm astonished by the news.,surprise,en
यह वाकई में आश्चर्यजनक है। आज,surprise,hi
"extremely I can't stop crying, I'm devastated!",sadness,en
यह वाकई में आश्चर्यजनक है।,surprise,hi
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है।",anger,hi
extremely I feel anxious and fearful right now...,fear,en
यह घिनौना है।,disgust,hi
"I can't stand it, it's disgusting.",disgust,en
कुछ खास नहीं हुआ। अभी,neutral,hi
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
यह घिनौना है। आज,disgust,hi
Just another normal day.,neutral,en
"totally I can't stand it, it's disgusting!",disgust,en
What a fantastic moment!,joy,en
extremely I feel anxious and fearful right now!,fear,en
मैं उत्साहित और प्रसन्न हूँ। अभी,joy,hi
मुझे डर लग रहा है।,fear,hi
मैं भयभीत हूँ। अभी,fear,hi
totally I am worried sick and afraid.,fear,en
यह वाकई में आश्चर्यजनक है। अभी,surprise,hi
extremely I have no strong feelings about it. hardly,neutral,en
so I'm scared about the test tomorrow.,fear,en
यह वाकई में आश्चर्यजनक है। अभी,surprise,hi
"so I can't tolerate this, I'm mad.",anger,en
absolutely I feel wonderful and joyful.,joy,en
"Today was a rough day, I feel down.",sadness,en
That was disgusting and gross.,disgust,en
मैं उत्साहित और प्रसन्न हूँ। बस,joy,hi
That was a shocking surprise...,surprise,en
मैं आज बहुत खुश हूँ।,joy,hi
मुझे यह बहुत घटिया लगा। आज,disgust,hi
"I can't tolerate this, I'm mad.",anger,en
मैं उत्साहित और प्रसन्न हूँ। अभी,joy,hi
totally This situation terrifies me.,fear,en
anxious,fear,en
मुझे यह बहुत घटिया लगा। अभी,disgust,hi
I am furious about what happened!,anger,en
मैं उत्साहित और प्रसन्न हूँ।,joy,hi
I have no strong feelings about it.,neutral,en
I feel anxious and fearful right now.,fear,en
woohoo!,joy,en
मुझे यह बहुत घटिया लगा। आज,disgust,hi
यह घिनौना है। आज,disgust,hi
ugh,disgust,en
मैं भयभीत हूँ। आज,fear,hi
मुझे यह बहुत घटिया लगा।,disgust,hi
feels bad,sadness,en
मैं बस घर पर हूँ। अभी,neutral,hi
totally I feel anxious and fearful right now!,fear,en
मैं भयभीत हूँ। आज,fear,hi
This makes me sick to my stomach.,disgust,en
"absolutely Today was a rough day, I feel down.",sadness,en
यह वाकई में आश्चर्यजनक है। अभी,surprise,hi
मुझे यह बहुत घटिया लगा।,disgust,hi
मुझे डर लग रहा है।,fear,hi
"I can't stand it, it's disgusting.",disgust,en
I'm scared about the test tomorrow.,fear,en
मुझे बहुत दुख है। अभी,sadness,hi
nasty,disgust,en
मुझे डर लग रहा है।,fear,hi
"Today was a rough day, I feel down. never",sadness,en
totally I'm feeling heartbroken and low. not,sadness,en
I feel so sad and empty.,sadness,en
मैं भयभीत हूँ। आज,fear,hi
What a fantastic moment!,joy,en
It is an ordinary day.,neutral,en
कुछ खास नहीं हुआ। बस,neutral,hi
so This situation terrifies me.,fear,en
quite I feel anxious and fearful right now. never,fear,en
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
मैं उत्साहित और प्रसन्न हूँ। बस,joy,hi
so I'm scared about the test tomorrow!,fear,en
quite That was unacceptable and enraging...,anger,en
What an unexpected event!,surprise,en
मुझे बहुत दुख है। बस,sadness,hi
extremely I'm astonished by the news. not,surprise,en
"I can't stop crying, I'm devastated...",sadness,en
I went to the store today. barely,neutral,en
क्या! मैंने यह सोचा नहीं था।,surprise,hi
"really I can't stand it, it's disgusting.",disgust,en
I'm scared about the test tomorrow.,fear,en
"I can't tolerate this, I'm mad.",anger,en
यह वाकई में आश्चर्यजनक है। बस,surprise,hi
so This situation terrifies me.,fear,en
मुझे बहुत दुख है।,sadness,hi
I am worried sick and afraid.,fear,en
really I'm feeling heartbroken and low.,sadness,en
मैं बस घर पर हूँ। बस,neutral,hi
मुझे बहुत दुख है।,sadness,hi
मुझे यह बहुत घटिया लगा।,disgust,hi
Just another normal day.,neutral,en
That was disgusting and gross. hardly,disgust,en
really It is an ordinary day.,neutral,en
"so Wow, I did not expect that!!",surprise,en
quite I feel revulsion at this.,disgust,en
मैं उदास महसूस कर रहा हूँ। अभी,sadness,hi
no way!,surprise,en
यह घिनौना है।,disgust,hi
"quite I can't stand it, it's disgusting!",disgust,en
I feel so sad and empty...,sadness,en
"Wow, I did not expect that!",surprise,en
absolutely I'm scared about the test tomorrow. hardly!,fear,en
quite I feel so sad and empty.,sadness,en
I feel so sad and empty.,sadness,en
This situation terrifies me.,fear,en
absolutely That was disgusting and gross.,disgust,en
very Just another normal day.,neutral,en
afraid,fear,en
मैं उत्साहित और प्रसन्न हूँ। अभी,joy,hi
so-so,neutral,en
मुझे बहुत दुख है। अभी,sadness,hi
कुछ खास नहीं हुआ। बस,neutral,hi
I am so happy today!,joy,en
This makes me sick to my stomach.,disgust,en
"I can't stop crying, I'm devastated.",sadness,en
absolutely That was unacceptable and enraging. hardly.,anger,en
मैं उत्साहित और प्रसन्न हूँ। बस,joy,hi
मैं उत्साहित और प्रसन्न हूँ। बस,joy,hi
"very I can't tolerate this, I'm mad.",anger,en
quite I feel so sad and empty.,sadness,en
मैं बस घर पर हूँ। बस,neutral,hi
really What a fantastic moment!,joy,en
What an unexpected event!,surprise,en
मैं आज बहुत खुश हूँ। आज,joy,hi
absolutely I feel so sad and empty. never!,sadness,en
"really I can't stand it, it's disgusting.",disgust,en
very I feel revulsion at this!,disgust,en
very I feel revulsion at this.,disgust,en
यह घिनौना है। आज,disgust,hi
angry!,anger,en
no way!,surprise,en
I am so happy today!,joy,en
"I can't stand it, it's disgusting.",disgust,en
"extremely I can't stop crying, I'm devastated.",sadness,en
I went to the store today.,neutral,en
"absolutely I can't stand it, it's disgusting.",disgust,en
very That was disgusting and gross.,disgust,en
"absolutely I can't stand it, it's disgusting. never",disgust,en
very I went to the store today.,neutral,en
so Just another normal day.,neutral,en
मुझे बहुत दुख है। आज,sadness,hi
That was unacceptable and enraging.,anger,en
tearful,sadness,en
मुझे यह बहुत घटिया लगा। आज,disgust,hi
What a fantastic moment!,joy,en
so This situation terrifies me. not,fear,en
मैं भयभीत हूँ। बस,fear,hi
मैं भयभीत हूँ। अभी,fear,hi
मुझे यह बहुत घटिया लगा। आज,disgust,hi
so I'm feeling heartbroken and low.,sadness,en
I am furious about what happened!,anger,en
That was a shocking surprise.,surprise,en
I have no strong feelings about it.,neutral,en
absolutely What an unexpected event!,surprise,en
"I can't stop crying, I'm devastated.",sadness,en
मुझे यह बहुत घटिया लगा। आज,disgust,hi
"so This made my day, I'm ecstatic...",joy,en
I am worried sick and afraid. hardly,fear,en
What a fantastic moment!,joy,en
meh,neutral,en
"I can't stop crying, I'm devastated.",sadness,en
"I can't stop crying, I'm devastated.",sadness,en
I feel anxious and fearful right now. hardly,fear,en
मैं उत्साहित और प्रसन्न हूँ। आज,joy,hi
quite Just another normal day!,neutral,en
मुझे बहुत दुख है। आज,sadness,hi
quite I am furious about what happened! barely,anger,en
मैं उत्साहित और प्रसन्न हूँ। बस,joy,hi
मुझे यह बहुत घटिया लगा।,disgust,hi
I have no strong feelings about it...,neutral,en
"really Today was a rough day, I feel down.",sadness,en
so This makes me sick to my stomach.,disgust,en
quite I feel anxious and fearful right now.,fear,en
I feel anxious and fearful right now.,fear,en
This situation terrifies me.,fear,en
extremely I have no strong feelings about it.,neutral,en
यह वाकई में आश्चर्यजनक है। आज,surprise,hi
scared,fear,en
मैं बस घर पर हूँ। बस,neutral,hi
What a fantastic moment!,joy,en
"I can't stop crying, I'm devastated. barely",sadness,en
I'm astonished by the news...,surprise,en
really I'm scared about the test tomorrow. not,fear,en
totally I feel anxious and fearful right now.,fear,en
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
That was disgusting and gross.,disgust,en
मैं बस घर पर हूँ। बस,neutral,hi
मैं बहुत गुस्से में हूँ।,anger,hi
very I'm astonished by the news.,surprise,en
मैं उत्साहित और प्रसन्न हूँ। बस,joy,hi
I am worried sick and afraid. barely,fear,en
gross,disgust,en
मैं उदास महसूस कर रहा हूँ। बस,sadness,hi
मैं भयभीत हूँ। बस,fear,hi
I have no strong feelings about it.,neutral,en
This makes me sick to my stomach.,disgust,en
मुझे बहुत दुख है। अभी,sadness,hi
quite This makes me sick to my stomach. hardly,disgust,en
"totally Today was a rough day, I feel down.",sadness,en
yay!,joy,en
मैं उत्साहित और प्रसन्न हूँ। बस,joy,hi
मुझे यह बहुत घटिया लगा। आज,disgust,hi
"I can't tolerate this, I'm mad. never...",anger,en
मैं उत्साहित और प्रसन्न हूँ। अभी,joy,hi
I feel so sad and empty.,sadness,en
extremely This makes me sick to my stomach.,disgust,en
This makes me so angry and annoyed.,anger,en
quite I have no strong feelings about it.,neutral,en
"Wow, I did not expect that!",surprise,en
so mad,anger,en
मुझे यह बहुत घटिया लगा। आज,disgust,hi
"so Wow, I did not expect that!.",surprise,en
What a fantastic moment! not,joy,en
मुझे डर लग रहा है।,fear,hi
मैं बहुत गुस्से में हूँ। अभी,anger,hi
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। अभी",anger,hi
totally I have no strong feelings about it.,neutral,en
That was unacceptable and enraging.,anger,en
extremely This makes me so angry and annoyed. hardly...,anger,en
मैं आज बहुत खुश हूँ। आज,joy,hi
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। अभी",anger,hi
मैं बहुत गुस्से में हूँ। अभी,anger,hi
कुछ खास नहीं हुआ।,neutral,hi
really That was unacceptable and enraging!,anger,en
so-so,neutral,en
यह घिनौना है। आज,disgust,hi
कुछ खास नहीं हुआ।,neutral,hi
"This made my day, I'm ecstatic.",joy,en
कुछ खास नहीं हुआ। बस,neutral,hi
extremely That was disgusting and gross.,disgust,en
"This made my day, I'm ecstatic...",joy,en
कुछ खास नहीं हुआ। बस,neutral,hi
meh,neutral,en
यह घिनौना है। आज,disgust,hi
extremely Just another normal day!,neutral,en
meh,neutral,en
really I am furious about what happened!,anger,en
so This situation terrifies me.,fear,en
I am so happy today!,joy,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है।",anger,hi
extremely I have no strong feelings about it.,neutral,en
मुझे डर लग रहा है। बस,fear,hi
मैं भयभीत हूँ। बस,fear,hi
really I am furious about what happened!,anger,en
really What an unexpected event!,surprise,en
I feel wonderful and joyful.,joy,en
quite That was unacceptable and enraging.,anger,en
यह वाकई में आश्चर्यजनक है। बस,surprise,hi
I went to the store today!,neutral,en
quite I feel so sad and empty!,sadness,en
This situation terrifies me.,fear,en
so happy,joy,en
"I can't stop crying, I'm devastated.",sadness,en
यह घिनौना है। आज,disgust,hi
मुझे बहुत दुख है। बस,sadness,hi
I feel so sad and empty.,sadness,en
What an unexpected event!,surprise,en
really I went to the store today!,neutral,en
I feel wonderful and joyful.,joy,en
I went to the store today. never,neutral,en
मैं आज बहुत खुश हूँ। आज,joy,hi
मुझे यह बहुत घटिया लगा। आज,disgust,hi
मैं भयभीत हूँ। अभी,fear,hi
"I can't stand it, it's disgusting.",disgust,en
absolutely That was unacceptable and enraging.,anger,en
yuck,disgust,en
What an unexpected event!,surprise,en
so That was disgusting and gross. not!,disgust,en
so I went to the store today. not,neutral,en
यह वाकई में आश्चर्यजनक है। आज,surprise,hi
very That was unacceptable and enraging.,anger,en
It is an ordinary day. hardly...,neutral,en
I feel so sad and empty.,sadness,en
मुझे यह बहुत घटिया लगा। बस,disgust,hi
afraid,fear,en
This makes me sick to my stomach.,disgust,en
